frame_index,timestamp,nose_x,nose_y,nose_z,nose_visibility,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility
1,0.0360,0.498274,0.495747,-1.757120,0.999495,0.833299,0.925753,-0.505862,0.978598,0.210979,0.922997,-0.460260,0.947877,1.076284,1.360161,-0.519286,0.147942,-0.005702,1.302845,-0.485864,0.146821,1.146340,1.664488,-1.084418,0.114303,-0.005183,1.156276,-1.267330,0.137930
2,0.0847,0.498304,0.495317,-1.737997,0.999503,0.833287,0.924948,-0.507220,0.978953,0.210891,0.922970,-0.423396,0.947942,1.076177,1.355962,-0.592906,0.152197,-0.018389,1.249961,-0.553099,0.156187,1.136958,1.626237,-1.169950,0.119051,0.015617,0.960228,-1.302816,0.154815
3,0.1326,0.498330,0.494169,-1.670651,0.999532,0.831266,0.924064,-0.501528,0.979870,0.210916,0.921884,-0.350950,0.949393,1.069210,1.355924,-0.607459,0.157459,-0.023127,1.236971,-0.516611,0.163770,1.133520,1.626803,-1.189441,0.126713,0.016620,0.959541,-1.250032,0.177081
4,0.1862,0.498382,0.494053,-1.664619,0.999525,0.830918,0.924060,-0.499961,0.979806,0.210980,0.921892,-0.362252,0.948275,1.072492,1.346289,-0.641479,0.159827,-0.022866,1.227369,-0.550330,0.171513,1.133924,1.543917,-1.237489,0.132542,0.023796,0.933352,-1.242458,0.191155
5,0.2330,0.498405,0.493682,-1.650861,0.999531,0.830104,0.923992,-0.488383,0.979904,0.211340,0.921803,-0.355073,0.947081,1.072336,1.345998,-0.631184,0.159559,-0.027547,1.210310,-0.557116,0.178577,1.134313,1.555523,-1.200289,0.132757,0.026093,0.927687,-1.269112,0.199634
6,0.2860,0.498439,0.493487,-1.655299,0.999541,0.830220,0.923991,-0.504354,0.980437,0.211671,0.922385,-0.360029,0.947922,1.074272,1.346661,-0.633644,0.164885,-0.031479,1.203562,-0.539438,0.192361,1.141591,1.583307,-1.195240,0.137231,0.031735,0.931147,-1.211525,0.214110
7,0.3363,0.498477,0.493370,-1.593462,0.999494,0.827482,0.923039,-0.438258,0.979441,0.211759,0.921134,-0.299379,0.942578,1.074571,1.311953,-0.631825,0.167724,-0.030429,1.209194,-0.389444,0.188048,1.137265,1.442982,-1.242089,0.140604,0.031853,0.944077,-1.003660,0.211140
8,0.3871,0.498486,0.493271,-1.612326,0.999496,0.829308,0.920984,-0.450246,0.979595,0.215036,0.920787,-0.311389,0.942775,1.079271,1.308120,-0.631100,0.169397,-0.029225,1.212873,-0.408291,0.193798,1.137096,1.458562,-1.242927,0.144040,0.031910,0.948479,-1.038234,0.219706
9,0.4289,0.498499,0.493199,-1.642195,0.999515,0.829493,0.921012,-0.474690,0.980359,0.214917,0.920763,-0.321491,0.943991,1.077870,1.320228,-0.659790,0.173533,-0.028912,1.220621,-0.417830,0.196929,1.129628,1.510296,-1.290325,0.150697,0.031941,0.963239,-1.082957,0.231764
10,0.4789,0.498564,0.492821,-1.611968,0.999515,0.830469,0.919883,-0.435808,0.980187,0.216577,0.921433,-0.327296,0.943449,1.077783,1.310477,-0.575169,0.170495,-0.020837,1.240393,-0.513568,0.194542,1.129797,1.514323,-1.196197,0.148056,0.024470,0.972495,-1.346924,0.227967
11,0.5290,0.498670,0.492307,-1.619413,0.999540,0.830694,0.917607,-0.440825,0.981067,0.218534,0.922604,-0.330899,0.945750,1.079229,1.310967,-0.521455,0.171183,-0.001996,1.281407,-0.365249,0.195500,1.138659,1.546562,-1.148354,0.150875,0.015186,1.080303,-1.058117,0.225455
12,0.5787,0.498775,0.491976,-1.615267,0.999560,0.830734,0.918138,-0.430735,0.981731,0.219456,0.922843,-0.330459,0.947553,1.079174,1.319165,-0.525084,0.171278,-0.002214,1.279650,-0.393903,0.195208,1.139453,1.572806,-1.149637,0.153365,0.015816,1.072904,-1.206148,0.228959
13,0.6285,0.499198,0.491677,-1.619068,0.999546,0.830758,0.917677,-0.436405,0.981689,0.219573,0.922998,-0.335535,0.946580,1.078810,1.317637,-0.538110,0.168703,0.004359,1.281522,-0.400026,0.190006,1.138254,1.565966,-1.157153,0.151562,0.016155,1.067702,-1.218928,0.223440
14,0.6714,0.499830,0.491009,-1.615427,0.999560,0.830997,0.917593,-0.447618,0.982256,0.220916,0.923264,-0.328115,0.947862,1.077535,1.320358,-0.584118,0.172827,-0.009288,1.248948,-0.467571,0.196599,1.138104,1.581967,-1.188054,0.157256,0.019834,1.000439,-1.285998,0.240660
15,0.7177,0.500830,0.490456,-1.672635,0.999549,0.831208,0.917737,-0.449020,0.982268,0.220094,0.924063,-0.395417,0.949090,1.076047,1.346358,-0.538192,0.172085,0.007759,1.313709,-0.331416,0.191311,1.136649,1.665344,-1.170657,0.151508,0.021632,1.496109,-1.006159,0.224582
